Id,Name ,SwahiliName,IsActive,MinistryId,IsPublicSector
194,Mkoa wa Kusini Pemba,Mkoa wa Kusini Pemba,1,16,1
195,Mkoa wa Kaskazini Unguja,Mkoa wa Kaskazini Unguja,1,16,1
196,Kiwanda cha Makonyo,Kiwanda cha Makonyo,1,NULL,1
197,Jeshi la Kujenga Uchumi(JKU),Jeshi la Kujenga Uchumi(JKU),1,16,1
198,Shirika la Umeme Zanzibar (ZECO),Shirika la Umeme Zanzibar (ZECO),1,24,1
199,Taasisi ya Nyaraka na Kumbukumbu Zanzibar,Taasisi ya Nyaraka na Kumbukumbu Zanzibar,1,17,1
200,Wizara ya Utalii na Mambo ya Kale,Wizara ya Utalii na Mambo ya Kale,0,27,1
201,Baraza la Mji  Kaskazini A,Baraza la Mji  Kaskazini A,1,16,1
202,Baraza la Mji Kaskazini B,Baraza la Mji Kaskazini B,1,16,1
203,Baraza la Manispaa Kati,Baraza la Manispaa Kati,1,16,1
204,Mradi wa Huduma za jamii Mjini(ZUSP),Mradi wa Huduma za jamii Mjini(ZUSP),1,23,1
205,Wakala wa Vipimo,Wakala wa Vipimo,1,28,1
206,Kampuni ya Ujenzi ya Serikali,Kampuni ya Ujenzi ya Serikali,1,16,1
207,Baraza la Kuwawakilisha Watumiaji wa Maji na Nishati,Baraza la Kuwawakilisha Watumiaji wa Maji na Nishati,1,24,1
208,Wakala wa  Barabara,Wakala wa  Barabara,1,32,1
209,Mamlaka ya Usafri na Usalama Barabarani,Mamlaka ya Usafri na Usalama Barabarani,1,32,1
210,Mradi wa SWIOFISH,Mradi wa SWIOFISH,1,33,1
211,Ofisi ya Mhasibu Mkuu wa Serikali,Ofisi ya Mhasibu Mkuu wa Serikali,1,23,1
212,Mahkama ya Kadhi,Mahkama ya Kadhi,0,22,1
213,Baraza la Mji Kati,Baraza la Mji Kati,1,16,1
214,Bodi ya Wathamini Majengo,Bodi ya Wathamini Majengo,1,29,1
215,Baraza la Jiji,Baraza la Jiji,1,16,1
216,Wakala wa Karakana Kuu ya Magari Zanzibar,Wakala wa Karakana Kuu ya Magari Zanzibar,1,32,1
217,Bodi ya Wathamini(VALUERS),Bodi ya Wathamini(VALUERS),1,29,1
218,Wakala wa Serikali wa Uchapaji Zanzibar,Wakala wa Serikali wa Uchapaji Zanzibar,0,26,1
219,Wakala wa Serikali wa Uchapaji Zanzibar,Wakala wa Serikali wa Uchapaji Zanzibar,1,26,1
220,Idara ya Maendeleo ya Viwango,Idara  ya Maendeleo ya Viwango,1,28,1
221,Wakala wa Uwezeshaji Uchumi Zanzibar,Wakala wa Uwezeshaji Uchumi Zanzibar,1,21,1
222,Idara ya Habari na Mawasiliano,Idara ya Habari na Mawasiliano,1,26,1
223,Bodi ya Wataalamu wa Maabara ya Tiba,Bodi ya Wataalamu wa Maabara ya Tiba,1,31,1
224,Bodi ya Wakala ya Karakana Kuu ya Magari,Bodi ya Wakala ya Karakana Kuu ya Magari,1,32,1
225,Bodi ya Ushauri ya Karakana Kuu ya Magari,Bodi ya Ushauri ya Karakana Kuu ya Magari,1,32,1
226,Kituo cha covid-19 P/Mchangani,Kituo cha covid-19 P/Mchangani,1,5,1
227,Kituo cha covid-19 Makunduchi,Kituo cha covid-19 Makunduchi,1,5,1
228,Idara ya Maendeleo ya Mifugo,Idara ya Maendeleo ya Mifugo,1,25,1
229,Bodi ya Mfuko wa Hifadhi ya jamii,Bodi ya Mfuko wa Hifadhi ya jamii,1,23,1
230,"(OR) Katiba, Sheria, Utumishi na Utawala Bora","(OR) Katiba, Sheria, Utumishi na Utawala Bora",1,31,1
231,Taasisi ya Karume ya Sayansi na Teknolojia (KIST),Taasisi ya Karume ya Sayansi na Teknolojia (KIST),1,19,1
232,Mamlaka ya Mji Mkongwe Zanzibar,Mamlaka ya Mji Mkongwe Zanzibar,1,27,1
233,Kampuni ya Uvuvi,Kampuni ya Uvuvi,1,33,1
234,Wakala wa Serikali Mtandao,Wakala wa Serikali Mtandao,1,22,1
235,Bodi ya Mishahara,Bodi ya Mishahara,1,21,1
236,Ofisi Kuu Pemba-Kazi Uchumi na Uwekezaji,Ofisi Kuu Pemba-Kazi Uchumi na Uwekezaji,1,22,1
237,Mahkama ya rufaa ya Idara Maalum za SMZ,Mahkama ya rufaa ya Idara Maalum za SMZ,1,16,1
238,Skuli ya Sheria,Skuli ya Sheria,1,22,1
239,Baraza la kusimamia mfumo wa utoaji wa leseni,Baraza la kusimamia mfumo wa utoaji wa leseni,1,28,1
240,Ofisi kuu Pemba- Ofisi ya Makamo wa Kwanza wa Rais ,Ofisi kuu Pemba-Ofisi ya Makamo wa Kwanza wa Rais ,1,4,1
241,Ofisi Kuu Pemba- Ofisi ya Makamo wa Pili,Ofisi Kuu Pemba- Ofisi ya Makamo wa Pili,1,2,1
242,Ofisi Kuu Pemba-Uchumi wa Bluu na Uvuvi,Ofisi Kuu Pemba-Uchumi wa Bluu na Uvuvi,1,33,1
243,Ofisi Kuu Pemba--Wizara Maji Nishati na Madijni,Ofisi Kuu Pemba--Wizara Maji Nishati na Madijni,1,24,1
244,Mahkama ya Ardhi,Mahkama ya Ardhi,1,29,1
245,Wakala wa Usajili wa Majengo,Wakala wa Usajili wa Majengo,0,29,1
246,Ofisi Kuu Pemba -Wizara ya Ardhi na Maendelo ya Makazi,Ofisi Kuu Pemba -Wizara ya Ardhi na Maendelo ya Makazi,1,29,1
247,Ofisi Kuu Pemba-Utalii na Mambo ya Kale,Ofisi Kuu Pemba-Utalii na Mambo ya Kale,1,27,1
248,Ofisi kuu Pemba -Wizara ya Kilimo,Ofisi kuu Pemba -Wizara ya Kilimo,1,25,1
249,Kamisheni ya Ushindani wa Biashara,Kamisheni ya Ushindani wa Biashara,1,28,1
250,Ofisi Kuu Pemba-Wizara ya Biashara,Ofisi Kuu Pemba-Wizara ya Biashara,1,28,1
